"subject","predicate","object","graph"
"b12_b3236055","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347366",""
"b12_b3236056","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236056","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3347385",""
"b12_b3236057","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236057","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3348576",""
"b12_b3236058","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236058","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3349400",""
"b12_b3236059","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236059","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3349482",""
"b12_b3236060","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236060","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3352341",""
"b12_b3236061","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236061","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3352351",""
"b12_b3236062","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236062","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3352353",""
"b12_b3236063","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236063","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3352363",""
"b12_b3236064","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236064","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3352364",""
"b12_b3236065","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236065","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3353624",""
"b12_b3236066","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236066","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3355321",""
"b12_b3236067","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236067","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3357971",""
"b12_b3236068","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236068","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3358046",""
"b12_b3236069","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236069","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3358354",""
"b12_b3236070","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236070","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3365998",""
"b12_b3236071","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236071","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3367366",""
"b12_b3236072","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236072","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3367656",""
"b12_b3236073","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236073","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC336850",""
"b12_b3236074","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236074","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3370210",""
"b12_b3236075","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236075","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3370534",""
"b12_b3236076","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236076","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC337057",""
"b12_b3236077","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236077","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3372113",""
"b12_b3236078","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236078","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3372174",""
"b12_b3236079","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236079","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3372193",""
"b12_b3236080","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236080","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3372212",""
"b12_b3236081","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236081","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3372249",""
"b12_b3236082","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236082","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3372256",""
"b12_b3236083","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236083","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3372751",""
"b12_b3236084","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236084","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3375592",""
"b12_b3236085","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236085","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3377458",""
"b12_b3236086","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236086","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3379047",""
"b12_b3236087","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236087","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3380805",""
"b12_b3236088","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236088","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3381124",""
"b12_b3236089","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236089","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC338121",""
"b12_b3236090","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236090","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3382310",""
"b12_b3236091","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236091","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3382390",""
"b12_b3236092","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236092","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3383169",""
"b12_b3236093","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236093","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3383315",""
"b12_b3236094","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236094","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3385033",""
"b12_b3236095","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236095","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3385202",""
"b12_b3236096","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236096","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3386072",""
"b12_b3236097","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236097","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC338890",""
"b12_b3236098","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236098","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC338943",""
"b12_b3236099","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236099","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3390523",""
"b12_b3236100","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236100","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC339105",""
"b12_b3236101","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
"b12_b3236101","http://example.org/our_ontology/isHypothesisOf","http://ns.inria.fr/covid19/PMC3391140",""
"b12_b3236102","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://example.org/our_ontology/Hypothesis",""
